Coordenada x (long);Coordenada y (lat);Conteo árboles
-76,087773;4,890681;214
-76,087773;4,887064;215
-76,087773;4,883448;216
-76,087773;4,879831;217
-76,087773;4,876214;218
-76,087773;4,872597;219
-76,087773;4,868981;220
-76,087773;4,865364;221
-76,087773;4,861747;222
-76,087773;4,858130;223
-76,087773;4,854514;224
-76,087773;4,850897;225
-76,087773;4,847280;226
-76,087773;4,843664;227
-76,087773;4,840047;228
-76,087773;4,836430;229
-76,087773;4,832813;230
-76,087773;4,829197;231
-76,087773;4,825580;232
-76,087774;4,821963;233
-76,087774;4,818346;234
-76,087774;4,814730;235
-76,087774;4,811113;236
-76,087736;4,897910;237
-76,087737;4,894293;238
-76,087737;4,890676;239
-76,087737;4,887060;240
-76,087737;4,883443;241
-76,087737;4,879826;242
-76,087737;4,876209;243
-76,087737;4,872593;244
-76,087737;4,868976;245
-76,087737;4,865359;246
-76,087737;4,861742;247
-76,087737;4,858126;248
-76,087737;4,854509;249
-76,087737;4,850892;250
-76,087737;4,847276;251
-76,087737;4,843659;252
-76,087737;4,840042;253
-76,087737;4,836425;254
-76,087737;4,832809;255
-76,087737;4,829192;256
-76,087737;4,825575;257
-76,087737;4,821958;258
-76,087738;4,818342;259
-76,087738;4,814725;260
-76,087738;4,811108;261
-76,087700;4,897905;262
-76,087701;4,894288;263
-76,087701;4,890672;264
-76,087701;4,887055;265
-76,087701;4,883438;266
-76,087701;4,879821;267
-76,087701;4,876205;268
-76,087701;4,872588;269
-76,087701;4,868971;270
-76,087701;4,865355;271
-76,087701;4,861738;272
-76,087701;4,858121;273
-76,087701;4,854504;274
-76,087701;4,850888;275
-76,087701;4,847271;276
-76,087701;4,843654;277
-76,087701;4,840037;278
-76,087701;4,836421;279
-76,087701;4,832804;280
-76,087701;4,829187;281
-76,087701;4,825571;282
-76,087701;4,821954;283
-76,087701;4,818337;284
-76,087702;4,814720;285
-76,087702;4,811104;286
-76,087702;4,807487;287
-76,087664;4,901517;288
-76,087664;4,897900;289
-76,087664;4,894284;290
-76,087665;4,890667;291
-76,087665;4,887050;292
-76,087665;4,883433;293
-76,087665;4,879817;294
-76,087665;4,876200;295
-76,087665;4,868967;296
-76,087665;4,865350;297
-76,087665;4,861733;298
-76,087665;4,858116;299
-76,087665;4,854500;300
-76,087665;4,850883;301
-76,087665;4,847266;302
-76,087665;4,843649;303
-76,087665;4,840033;304
-76,087665;4,836416;305
-76,087665;4,832799;306
-76,087665;4,829183;307
-76,087665;4,825566;308
-76,087665;4,821949;309
-76,087665;4,818332;310
-76,087666;4,814716;311
-76,087666;4,811099;312
-76,087666;4,807482;313
-76,087666;4,803865;314
-76,087628;4,901512;315
-76,087628;4,897896;316
-76,087628;4,894279;317
-76,087629;4,890662;318
-76,087629;4,887046;319
-76,087629;4,879812;320
-76,087629;4,868962;321
-76,087629;4,865345;322
-76,087629;4,861728;323
-76,087629;4,858112;324
-76,087629;4,854495;325
-76,087629;4,850878;326
-76,087629;4,847261;327
-76,087629;4,843645;328
-76,087629;4,840028;329
-76,087629;4,836411;330
-76,087629;4,832795;331
-76,087629;4,829178;332
-76,087629;4,825561;333
-76,087629;4,821944;334
-76,087629;4,818328;335
-76,087629;4,814711;336
-76,087630;4,811094;337
-76,087630;4,807477;338
-76,087630;4,803861;339
-76,087592;4,905124;340
-76,087592;4,901508;341
-76,087592;4,897891;342
-76,087592;4,894274;343
-76,087592;4,890658;344
-76,087593;4,887041;345
-76,087593;4,876191;346
-76,087593;4,872574;347
-76,087593;4,865340;348
-76,087593;4,861724;349
-76,087593;4,858107;350
-76,087593;4,854490;351
-76,087593;4,850874;352
-76,087593;4,847257;353
-76,087593;4,843640;354
-76,087593;4,840023;355
-76,087593;4,836407;356
-76,087593;4,832790;357
-76,087593;4,829173;358
