nm_ema;fc_obsrvcion;tmp_mxma;tmp_mnma;hmd_rel_mdia;rdcion_slar
La Paila;2011-02-16;26.2;18.5;89.0;251.0
Bugalagrande;2011-02-17;28.8;19.5;88.0;431.0
La Paila;2011-02-17;27.2;18.7;87.0;308.0
Bugalagrande;2011-02-18;30.2;19.5;86.0;480.0
La Paila;2011-02-18;29.5;18.6;82.0;426.0
Bugalagrande;2011-02-19;29.1;18.8;86.0;471.0
La Paila;2011-02-19;27.8;18.1;84.0;329.0
Bugalagrande;2011-02-20;30.9;18.3;82.0;534.0
La Paila;2011-02-20;29.7;16.7;81.0;323.0
Bugalagrande;2011-02-21;31.4;16.7;80.0;595.0
La Paila;2011-02-21;30.5;16.0;78.0;403.0
Bugalagrande;2011-02-22;29.8;17.7;82.0;456.0
La Paila;2011-02-22;29.3;17.2;80.0;322.0
Bugalagrande;2011-02-23;29.5;19.6;92.0;323.0
La Paila;2011-02-23;28.4;18.5;88.0;286.0
Bugalagrande;2011-02-24;25.8;19.2;280.0;280.0
La Paila;2011-02-24;25.3;18.4;192.0;192.0
Bugalagrande;2011-02-25;29.7;18.2;85.0;512.0
La Paila;2011-02-25;28.9;17.5;83.0;439.0
Bugalagrande;2011-02-26;31.9;18.3;82.0;509.0
La Paila;2011-02-26;29.6;17.5;81.0;387.0
Bugalagrande;2011-02-27;29.9;19.3;84.0;507.0
La Paila;2011-02-27;28.9;18.6;81.0;376.0
Bugalagrande;2011-02-28;29.5;18.6;87.0;415.0
La Paila;2011-02-28;29.4;17.6;88.0;358.0
Bugalagrande;2011-03-01;27.0;19.3;94.0;316.0
La Paila;2011-03-01;26.4;18.4;92.0;256.0
Bugalagrande;2011-03-02;25.1;18.7;93.0;274.0
La Paila;2011-03-02;24.8;18.0;88.0;269.0
Bugalagrande;2011-03-03;28.6;18.8;86.0;415.0
La Paila;2011-03-03;27.9;17.8;82.0;376.0
Bugalagrande;2011-03-04;31.1;16.3;82.0;586.0
La Paila;2011-03-04;29.9;16.4;79.0;468.0
Bugalagrande;2011-03-05;30.1;18.8;81.0;566.0
La Paila;2011-03-05;29.1;16.3;77.0;407.0
Bugalagrande;2011-03-06;26.7;19.6;91.0;309.0
La Paila;2011-03-06;27.6;18.6;86.0;254.0
Bugalagrande;2011-03-07;31.8;18.6;80.0;608.0
La Paila;2011-03-07;30.0;17.8;77.0;452.0
Bugalagrande;2011-03-08;29.1;19.7;87.0;381.0
La Paila;2011-03-08;27.7;19.0;85.0;290.0
