nm_ema;fc_obsrvcion;tmp_mxma;tmp_mnma;hmd_rel_mdia;rdcion_slar
Bugalagrande;2012-08-09;31.5;19.8;69.0;396.0
La Paila;2012-08-09;31.4;18.9;67.0;375.0
Bugalagrande;2012-08-10;31.3;19.1;70.0;408.0
La Paila;2012-08-10;31.2;18.4;69.0;369.0
Bugalagrande;2012-08-11;32.0;19.9;71.0;457.0
La Paila;2012-08-11;32.0;19.6;71.0;378.0
Bugalagrande;2012-08-12;31.7;20.7;74.0;447.0
La Paila;2012-08-12;31.2;20.4;70.0;414.0
Bugalagrande;2012-08-13;28.9;18.7;80.0;372.0
La Paila;2012-08-13;29.3;19.0;75.0;355.0
Bugalagrande;2012-08-14;29.7;19.2;75.0;374.0
La Paila;2012-08-14;30.6;19.0;73.0;371.0
Bugalagrande;2012-08-15;32.4;17.8;73.0;477.0
La Paila;2012-08-15;33.1;17.8;70.0;492.0
Bugalagrande;2012-08-16;31.5;17.9;77.0;465.0
La Paila;2012-08-16;31.8;17.9;72.0;441.0
Bugalagrande;2012-08-17;27.5;18.7;85.0;297.0
La Paila;2012-08-17;28.2;18.8;77.0;299.0
Bugalagrande;2012-08-18;31.3;17.2;73.0;468.0
La Paila;2012-08-18;32.2;17.2;73.0;431.0
Bugalagrande;2012-08-19;31.9;18.5;71.0;529.0
La Paila;2012-08-19;32.8;18.1;70.0;481.0
Bugalagrande;2012-08-20;38.2;18.9;71.0;461.0
La Paila;2012-08-20;31.9;19.0;76.0;459.0
Bugalagrande;2012-08-21;33.1;19.3;69.0;460.0
La Paila;2012-08-21;32.6;18.5;72.0;469.0
Bugalagrande;2012-08-22;31.1;18.8;72.0;395.0
La Paila;2012-08-22;30.4;18.6;77.0;346.0
Bugalagrande;2012-08-23;32.6;19.0;79.0;495.0
La Paila;2012-08-23;31.5;18.4;77.0;473.0
Bugalagrande;2012-08-24;30.1;18.0;78.0;351.0
La Paila;2012-08-24;30.3;17.8;80.0;331.0
Bugalagrande;2012-08-25;31.8;17.9;76.0;446.0
La Paila;2012-08-25;32.1;17.6;75.0;416.0
Bugalagrande;2012-08-26;33.1;18.8;69.0;506.0
La Paila;2012-08-26;32.5;17.6;69.0;503.0
Bugalagrande;2012-08-27;32.9;18.4;69.0;407.0
La Paila;2012-08-27;32.2;18.4;69.0;394.0
Bugalagrande;2012-08-28;33.1;16.7;68.0;450.0
La Paila;2012-08-28;33.3;16.2;68.0;470.0
Bugalagrande;2012-08-29;31.3;20.0;69.0;332.0
La Paila;2012-08-29;33.1;19.8;67.0;363.0
Bugalagrande;2012-08-30;33.5;18.3;63.0;435.0
La Paila;2012-08-30;34.2;18.2;62.0;482.0
Bugalagrande;2012-08-31;32.2;17.9;66.0;469.0
La Paila;2012-08-31;32.5;17.4;67.0;433.0
Bugalagrande;2012-09-01;31.5;15.5;67.0;436.0
La Paila;2012-09-01;32.5;15.4;66.0;455.0
Bugalagrande;2012-09-02;29.7;15.5;67.0;320.0
La Paila;2012-09-02;32.2;15.0;64.0;481.0
Bugalagrande;2012-09-03;31.1;18.3;66.0;383.0
La Paila;2012-09-03;31.2;18.2;68.0;389.0
Bugalagrande;2012-09-04;30.9;18.6;69.0;372.0
La Paila;2012-09-04;30.1;18.2;71.0;335.0
Bugalagrande;2012-09-05;30.0;17.6;70.0;244.0
La Paila;2012-09-05;31.8;17.2;69.0;403.0
Bugalagrande;2012-09-06;33.0;16.3;65.0;496.0
La Paila;2012-09-06;33.9;16.4;66.0;526.0
Bugalagrande;2012-09-07;34.2;17.8;65.0;530.0
La Paila;2012-09-07;34.5;17.6;65.0;523.0
Bugalagrande;2012-09-08;32.5;18.9;67.0;411.0
La Paila;2012-09-08;33.2;18.7;67.0;449.0
Bugalagrande;2012-09-09;34.1;17.3;67.0;489.0
La Paila;2012-09-09;34.9;17.1;69.0;459.0
Bugalagrande;2012-09-10;33.7;17.2;64.0;460.0
La Paila;2012-09-10;34.1;17.0;65.0;473.0
Bugalagrande;2012-09-11;33.5;16.8;67.0;430.0
La Paila;2012-09-11;32.7;17.1;66.0;417.0
Bugalagrande;2012-09-12;31.3;18.9;70.0;389.0
La Paila;2012-09-12;31.0;18.8;70.0;361.0
Bugalagrande;2012-09-13;28.1;17.9;72.0;183.0
La Paila;2012-09-13;31.1;17.9;70.0;406.0
Bugalagrande;2012-09-14;33.5;14.9;66.0;491.0
La Paila;2012-09-14;34.1;15.2;65.0;522.0
Bugalagrande;2012-09-15;34.5;16.3;64.0;526.0
La Paila;2012-09-15;34.5;16.4;64.0;496.0
Bugalagrande;2012-09-16;32.9;16.8;66.0;475.0
La Paila;2012-09-16;33.1;17.0;65.0;459.0
Bugalagrande;2012-09-17;30.0;19.1;70.0;319.0
La Paila;2012-09-17;30.3;18.8;69.0;397.0
Bugalagrande;2012-09-18;33.1;19.0;73.0;396.0
La Paila;2012-09-18;33.1;18.3;72.0;476.0
Bugalagrande;2012-09-19;34.1;18.4;68.0;538.0
La Paila;2012-09-19;34.1;17.6;68.0;562.0
Bugalagrande;2012-09-20;29.5;19.1;72.0;371.0
La Paila;2012-09-20;29.8;18.6;70.0;348.0
Bugalagrande;2012-09-21;31.9;16.7;68.0;509.0
La Paila;2012-09-21;32.5;16.4;66.0;518.0
Bugalagrande;2012-09-22;36.2;19.3;68.0;346.0
La Paila;2012-09-22;32.1;19.4;64.0;429.0
Bugalagrande;2012-09-23;30.0;18.3;77.0;351.0
La Paila;2012-09-23;31.6;18.9;85.0;311.0
Bugalagrande;2012-09-24;30.7;18.1;76.0;416.0
La Paila;2012-09-24;30.8;18.4;78.0;487.0
Bugalagrande;2012-09-25;29.0;19.3;80.0;385.0
La Paila;2012-09-25;29.4;19.2;80.0;372.0
Bugalagrande;2012-09-26;33.0;17.6;73.0;529.0
La Paila;2012-09-26;32.7;17.7;71.0;522.0
Bugalagrande;2012-09-27;32.1;18.4;74.0;402.0
La Paila;2012-09-27;30.9;18.2;73.0;378.0
Bugalagrande;2012-09-28;31.4;19.6;77.0;495.0
La Paila;2012-09-28;30.7;19.4;75.0;394.0
Bugalagrande;2012-09-29;33.1;17.6;70.0;521.0
La Paila;2012-09-29;33.1;17.1;69.0;489.0
Bugalagrande;2012-09-30;28.9;18.8;76.0;246.0
La Paila;2012-09-30;29.6;19.3;75.0;272.0
Bugalagrande;2012-10-01;32.6;16.9;79.0;447.0
La Paila;2012-10-01;32.6;17.2;77.0;391.0
Bugalagrande;2012-10-02;30.1;17.8;84.0;402.0
La Paila;2012-10-02;31.0;17.4;79.0;425.0
Bugalagrande;2012-10-03;33.1;17.1;75.0;451.0
La Paila;2012-10-03;33.1;17.2;76.0;507.0
Bugalagrande;2012-10-04;30.5;19.5;73.0;379.0
La Paila;2012-10-04;30.3;18.8;71.0;365.0
Bugalagrande;2012-10-05;29.9;19.5;76.0;392.0
La Paila;2012-10-05;29.3;19.1;76.0;358.0
Bugalagrande;2012-10-06;29.1;19.3;78.0;387.0
La Paila;2012-10-06;28.9;18.9;78.0;371.0
Bugalagrande;2012-10-07;27.6;18.9;85.0;290.0
La Paila;2012-10-07;26.0;18.9;85.0;236.0
Bugalagrande;2012-10-08;29.9;18.3;80.0;371.0
La Paila;2012-10-08;30.6;19.2;78.0;303.0
Bugalagrande;2012-10-09;30.9;18.6;74.0;525.0
La Paila;2012-10-09;31.4;18.1;73.0;458.0
Bugalagrande;2012-10-10;31.3;18.5;71.0;528.0
La Paila;2012-10-10;31.8;19.0;70.0;491.0
Bugalagrande;2012-10-11;29.0;19.3;81.0;323.0
La Paila;2012-10-11;29.5;18.4;81.0;322.0
Bugalagrande;2012-10-12;30.6;17.9;75.0;461.0
La Paila;2012-10-12;29.9;17.5;72.0;458.0
Bugalagrande;2012-10-13;31.2;20.3;74.0;458.0
La Paila;2012-10-13;31.3;19.9;73.0;427.0
Bugalagrande;2012-10-14;26.7;18.8;86.0;247.0
La Paila;2012-10-14;26.6;18.8;84.0;252.0
Bugalagrande;2012-10-15;30.5;18.1;77.0;529.0
La Paila;2012-10-15;30.8;17.5;73.0;495.0
Bugalagrande;2012-10-16;22.0;19.1;93.0;138.0
La Paila;2012-10-16;22.8;19.4;87.0;177.0
Bugalagrande;2012-10-17;29.1;18.5;79.0;411.0
La Paila;2012-10-17;29.7;18.6;77.0;376.0
Bugalagrande;2012-10-18;25.8;19.0;89.0;239.0
La Paila;2012-10-18;26.3;18.9;87.0;244.0
Bugalagrande;2012-10-19;26.1;18.6;86.0;302.0
La Paila;2012-10-19;26.7;18.6;83.0;266.0
Bugalagrande;2012-10-20;29.7;17.6;78.0;415.0
La Paila;2012-10-20;29.7;18.0;77.0;388.0
Bugalagrande;2012-10-21;31.6;17.8;73.0;554.0
La Paila;2012-10-21;31.9;19.2;71.0;455.0
Bugalagrande;2012-10-22;25.9;18.9;87.0;224.0
La Paila;2012-10-22;25.2;18.7;83.0;196.0
Bugalagrande;2012-10-23;29.9;17.3;74.0;553.0
La Paila;2012-10-23;30.5;17.2;73.0;447.0
Bugalagrande;2012-10-24;28.9;19.1;84.0;300.0
La Paila;2012-10-24;28.9;19.0;80.0;312.0
Bugalagrande;2012-10-25;29.3;18.3;79.0;447.0
La Paila;2012-10-25;28.8;17.6;79.0;424.0
Bugalagrande;2012-10-26;29.3;17.5;78.0;375.0
La Paila;2012-10-26;29.9;17.6;77.0;376.0
Bugalagrande;2012-10-27;32.1;17.5;74.0;513.0
La Paila;2012-10-27;32.3;18.2;72.0;470.0
Bugalagrande;2012-10-28;31.3;17.9;75.0;440.0
La Paila;2012-10-28;32.5;18.2;72.0;444.0
Bugalagrande;2012-10-29;30.5;17.9;81.0;400.0
La Paila;2012-10-29;30.9;18.1;75.0;376.0
Bugalagrande;2012-10-30;29.3;18.3;79.0;375.0
La Paila;2012-10-30;28.9;17.9;76.0;339.0
Bugalagrande;2012-10-31;29.8;18.9;80.0;437.0
La Paila;2012-10-31;29.2;19.1;78.0;370.0
Bugalagrande;2012-11-01;30.3;17.7;78.0;443.0
La Paila;2012-11-01;30.2;18.0;76.0;416.0
Bugalagrande;2012-11-02;29.3;18.1;79.0;377.0
La Paila;2012-11-02;29.7;17.6;77.0;332.0
Bugalagrande;2012-11-03;31.3;18.6;73.0;504.0
La Paila;2012-11-03;30.9;18.4;75.0;443.0
Bugalagrande;2012-11-04;30.7;19.3;73.0;430.0
La Paila;2012-11-04;30.5;19.4;73.0;392.0
Bugalagrande;2012-11-05;28.1;18.9;82.0;294.0
La Paila;2012-11-05;27.5;19.4;82.0;302.0
Bugalagrande;2012-11-06;28.9;18.6;78.0;286.0
La Paila;2012-11-06;28.4;18.5;79.0;302.0
Bugalagrande;2012-11-07;29.3;17.3;75.0;345.0
La Paila;2012-11-07;29.5;17.3;75.0;392.0
Bugalagrande;2012-11-08;29.7;17.9;77.0;344.0
La Paila;2012-11-08;29.5;19.1;75.0;397.0
Bugalagrande;2012-11-09;30.0;17.9;76.0;360.0
La Paila;2012-11-09;30.3;17.7;76.0;360.0
Bugalagrande;2012-11-10;31.6;18.7;76.0;383.0
La Paila;2012-11-10;32.1;18.0;73.0;445.0
Bugalagrande;2012-11-11;26.4;18.7;89.0;226.0
La Paila;2012-11-11;26.1;18.7;86.0;218.0
Bugalagrande;2012-11-12;30.3;18.0;79.0;485.0
La Paila;2012-11-12;30.9;18.1;82.0;432.0
Bugalagrande;2012-11-13;28.9;19.1;83.0;445.0
La Paila;2012-11-13;28.3;19.8;83.0;291.0
Bugalagrande;2012-11-14;30.2;18.3;82.0;381.0
La Paila;2012-11-14;29.5;19.0;81.0;348.0
Bugalagrande;2012-11-15;23.9;18.3;88.0;241.0
La Paila;2012-11-15;24.1;18.2;87.0;188.0
Bugalagrande;2012-11-16;29.3;18.7;80.0;461.0
La Paila;2012-11-16;29.7;17.8;79.0;396.0
Bugalagrande;2012-11-17;29.8;19.4;83.0;414.0
La Paila;2012-11-17;29.5;19.8;81.0;338.0
Bugalagrande;2012-11-18;25.8;19.4;89.0;230.0
La Paila;2012-11-18;26.6;19.2;88.0;217.0
Bugalagrande;2012-11-19;30.7;19.2;78.0;480.0
La Paila;2012-11-19;30.8;19.8;76.0;422.0
Bugalagrande;2012-11-20;31.1;19.5;76.0;327.0
La Paila;2012-11-20;30.7;19.8;76.0;345.0
Bugalagrande;2012-11-21;30.2;19.2;86.0;304.0
La Paila;2012-11-21;30.1;19.3;82.0;341.0
Bugalagrande;2012-11-22;29.5;20.6;83.0;286.0
La Paila;2012-11-22;29.9;20.1;82.0;324.0
Bugalagrande;2012-11-23;28.9;19.2;80.0;318.0
La Paila;2012-11-23;28.9;19.8;79.0;297.0
Bugalagrande;2012-11-24;32.2;19.7;77.0;446.0
La Paila;2012-11-24;32.1;20.1;76.0;427.0
Bugalagrande;2012-11-25;31.5;19.1;76.0;429.0
La Paila;2012-11-25;31.9;19.6;73.0;411.0
Bugalagrande;2012-11-26;30.4;19.7;78.0;347.0
La Paila;2012-11-26;29.9;19.9;76.0;306.0
Bugalagrande;2012-11-27;32.7;18.9;76.0;361.0
La Paila;2012-11-27;31.7;19.2;72.0;418.0
Bugalagrande;2012-11-28;28.7;20.1;81.0;429.0
La Paila;2012-11-28;29.3;20.2;78.0;362.0
Bugalagrande;2012-11-29;30.0;20.1;82.0;375.0
La Paila;2012-11-29;29.7;19.8;79.0;363.0
Bugalagrande;2012-11-30;29.1;19.2;82.0;431.0
La Paila;2012-11-30;29.5;19.4;81.0;407.0
Bugalagrande;2012-12-01;29.2;19.5;82.0;291.0
La Paila;2012-12-01;27.8;19.1;82.0;310.0
Bugalagrande;2012-12-02;29.0;18.4;82.0;337.0
La Paila;2012-12-02;29.9;18.8;81.0;339.0
Bugalagrande;2012-12-03;30.2;19.3;76.0;466.0
La Paila;2012-12-03;30.7;19.1;76.0;446.0
Bugalagrande;2012-12-04;28.9;18.7;78.0;359.0
La Paila;2012-12-04;28.3;18.5;78.0;297.0
Bugalagrande;2012-12-05;29.8;16.7;79.0;363.0
La Paila;2012-12-05;30.2;17.0;78.0;363.0
Bugalagrande;2012-12-06;30.3;18.9;75.0;483.0
La Paila;2012-12-06;30.9;19.6;73.0;468.0
Bugalagrande;2012-12-07;31.1;18.7;77.0;456.0
La Paila;2012-12-07;30.6;19.2;77.0;403.0
Bugalagrande;2012-12-08;31.9;19.6;76.0;388.0
La Paila;2012-12-08;31.2;18.8;74.0;389.0
Bugalagrande;2012-12-09;32.4;18.7;75.0;448.0
La Paila;2012-12-09;32.3;18.6;74.0;447.0
Bugalagrande;2012-12-10;32.3;17.3;74.0;440.0
La Paila;2012-12-10;31.9;18.3;73.0;396.0
Bugalagrande;2012-12-11;31.9;18.8;75.0;434.0
La Paila;2012-12-11;31.8;19.2;73.0;411.0
Bugalagrande;2012-12-12;31.1;20.4;78.0;430.0
La Paila;2012-12-12;30.3;20.0;75.0;373.0
Bugalagrande;2012-12-13;27.1;19.5;86.0;292.0
La Paila;2012-12-13;27.5;19.4;85.0;267.0
Bugalagrande;2012-12-14;27.3;19.6;85.0;244.0
La Paila;2012-12-14;28.0;19.5;81.0;311.0
Bugalagrande;2012-12-15;30.3;19.0;80.0;342.0
La Paila;2012-12-15;30.7;19.2;75.0;410.0
Bugalagrande;2012-12-16;30.5;18.0;78.0;361.0
La Paila;2012-12-16;31.0;18.5;74.0;443.0
Bugalagrande;2012-12-17;29.5;19.2;80.0;364.0
La Paila;2012-12-17;29.8;18.1;80.0;371.0
Bugalagrande;2012-12-18;29.5;19.3;79.0;414.0
La Paila;2012-12-18;29.8;19.4;75.0;376.0
Bugalagrande;2012-12-19;30.3;19.1;82.0;394.0
La Paila;2012-12-19;30.8;19.6;78.0;386.0
Bugalagrande;2012-12-20;30.9;18.5;79.0;214.0
La Paila;2012-12-20;30.7;18.6;76.0;352.0
Bugalagrande;2012-12-21;30.2;18.8;79.0;232.0
La Paila;2012-12-21;30.5;19.0;74.0;372.0
Bugalagrande;2012-12-22;28.9;19.1;80.0;255.0
La Paila;2012-12-22;30.5;18.8;76.0;340.0
Bugalagrande;2012-12-23;26.5;18.1;86.0;138.0
La Paila;2012-12-23;27.3;18.4;83.0;172.0
Bugalagrande;2012-12-24;29.1;18.9;85.0;186.0
La Paila;2012-12-24;29.5;18.5;85.0;228.0
Bugalagrande;2012-12-25;30.3;18.3;83.0;324.0
La Paila;2012-12-25;30.3;18.3;82.0;363.0
Bugalagrande;2012-12-26;31.0;18.9;79.0;460.0
La Paila;2012-12-26;31.5;19.0;77.0;433.0
Bugalagrande;2012-12-27;32.1;18.4;79.0;384.0
La Paila;2012-12-27;30.9;19.2;76.0;321.0
Bugalagrande;2012-12-28;31.7;18.1;77.0;492.0
La Paila;2012-12-28;32.3;18.6;73.0;416.0
Bugalagrande;2012-12-29;31.7;18.6;74.0;522.0
La Paila;2012-12-29;31.9;18.6;72.0;450.0
Bugalagrande;2012-12-30;32.1;17.7;74.0;476.0
La Paila;2012-12-30;32.9;18.1;73.0;451.0
Bugalagrande;2012-12-31;31.5;18.0;74.0;488.0
La Paila;2012-12-31;31.7;17.9;72.0;449.0
Bugalagrande;2013-01-01;31.0;17.5;73.0;473.0
La Paila;2013-01-01;31.9;17.3;72.0;421.0
Bugalagrande;2013-01-02;31.1;17.2;74.0;464.0
La Paila;2013-01-02;31.9;17.3;71.0;422.0
Bugalagrande;2013-01-03;31.7;18.0;73.0;436.0
La Paila;2013-01-03;32.5;18.1;73.0;410.0
Bugalagrande;2013-01-04;32.5;18.1;75.0;471.0
La Paila;2013-01-04;32.2;17.8;74.0;432.0
Bugalagrande;2013-01-05;32.6;18.3;73.0;498.0
La Paila;2013-01-05;31.7;18.5;74.0;406.0
Bugalagrande;2013-01-06;29.1;17.6;76.0;273.0
La Paila;2013-01-06;29.1;18.4;86.0;232.0
Bugalagrande;2013-01-07;30.5;16.0;75.0;375.0
La Paila;2013-01-07;31.0;17.0;72.0;372.0
Bugalagrande;2013-01-08;32.7;14.7;72.0;507.0
La Paila;2013-01-08;33.9;15.8;70.0;465.0
Bugalagrande;2013-01-09;32.4;14.9;70.0;506.0
La Paila;2013-01-09;32.5;15.5;68.0;491.0
Bugalagrande;2013-01-10;31.9;18.7;73.0;451.0
La Paila;2013-01-10;32.6;18.6;70.0;357.0
Bugalagrande;2013-01-11;32.5;18.5;73.0;358.0
La Paila;2013-01-11;32.9;18.2;70.0;454.0
Bugalagrande;2013-01-12;26.1;18.5;82.0;149.0
La Paila;2013-01-12;27.1;18.3;76.0;196.0
Bugalagrande;2013-01-13;29.9;18.7;73.0;452.0
La Paila;2013-01-13;29.3;18.0;71.0;410.0
Bugalagrande;2013-01-14;30.8;19.3;75.0;356.0
La Paila;2013-01-14;30.7;18.8;72.0;313.0
Bugalagrande;2013-01-15;29.9;20.3;82.0;309.0
La Paila;2013-01-15;30.5;20.4;72.0;355.0
Bugalagrande;2013-01-16;30.9;20.3;76.0;438.0
La Paila;2013-01-16;30.6;19.2;69.0;343.0
Bugalagrande;2013-01-17;31.0;20.4;76.0;392.0
La Paila;2013-01-17;30.8;20.6;69.0;344.0
Bugalagrande;2013-01-18;28.3;20.1;77.0;274.0
La Paila;2013-01-18;28.9;20.2;70.0;250.0
Bugalagrande;2013-01-19;33.0;18.8;73.0;490.0
La Paila;2013-01-19;32.4;19.5;68.0;406.0
Bugalagrande;2013-01-20;30.2;17.7;73.0;393.0
La Paila;2013-01-20;31.9;18.4;70.0;413.0
Bugalagrande;2013-01-21;31.8;18.8;72.0;385.0
La Paila;2013-01-21;32.6;19.4;68.0;366.0
Bugalagrande;2013-01-22;32.5;18.3;72.0;462.0
La Paila;2013-01-22;33.0;18.5;67.0;401.0
Bugalagrande;2013-01-23;30.3;20.4;74.0;322.0
La Paila;2013-01-23;31.0;21.1;73.0;290.0
Bugalagrande;2013-01-24;27.8;19.5;77.0;300.0
La Paila;2013-01-24;28.3;20.4;73.0;302.0
Bugalagrande;2013-01-25;30.0;20.1;72.0;363.0
La Paila;2013-01-25;30.4;20.6;71.0;355.0
Bugalagrande;2013-01-26;33.6;20.5;71.0;471.0
La Paila;2013-01-26;33.7;20.6;69.0;454.0
Bugalagrande;2013-01-27;33.3;19.5;71.0;488.0
La Paila;2013-01-27;33.5;19.9;67.0;478.0
Bugalagrande;2013-01-28;32.3;19.6;71.0;405.0
La Paila;2013-01-28;32.8;20.0;67.0;444.0
Bugalagrande;2013-01-29;33.4;18.4;70.0;479.0
La Paila;2013-01-29;33.1;19.0;68.0;405.0
Bugalagrande;2013-01-30;32.8;18.3;72.0;473.0
La Paila;2013-01-30;32.7;18.8;68.0;444.0
Bugalagrande;2013-01-31;32.6;18.4;71.0;411.0
La Paila;2013-01-31;33.1;18.6;65.0;439.0
Bugalagrande;2013-02-01;30.7;20.3;78.0;347.0
La Paila;2013-02-01;31.0;20.9;70.0;330.0
Bugalagrande;2013-02-02;24.3;19.5;92.0;157.0
La Paila;2013-02-02;24.6;19.9;88.0;138.0
Bugalagrande;2013-02-03;30.6;19.5;83.0;406.0
La Paila;2013-02-03;31.1;20.0;79.0;401.0
Bugalagrande;2013-02-04;30.1;19.5;83.0;403.0
La Paila;2013-02-04;30.3;20.0;79.0;356.0
Bugalagrande;2013-02-05;27.3;19.5;89.0;265.0
La Paila;2013-02-05;26.8;19.8;83.0;254.0
Bugalagrande;2013-02-06;28.7;19.2;79.0;344.0
La Paila;2013-02-06;29.1;19.6;80.0;274.0
Bugalagrande;2013-02-07;30.7;19.7;76.0;415.0
La Paila;2013-02-07;30.8;20.2;76.0;344.0
Bugalagrande;2013-02-08;27.1;20.5;84.0;257.0
La Paila;2013-02-08;27.8;20.2;80.0;251.0
Bugalagrande;2013-02-09;27.7;19.7;82.0;313.0
La Paila;2013-02-09;28.9;20.0;78.0;343.0
Bugalagrande;2013-02-10;27.7;19.7;81.0;357.0
La Paila;2013-02-10;27.0;19.8;78.0;279.0
Bugalagrande;2013-02-11;30.1;18.4;73.0;536.0
La Paila;2013-02-11;31.3;18.7;71.0;492.0
Bugalagrande;2013-02-12;23.3;19.5;86.0;131.0
La Paila;2013-02-12;24.6;19.6;83.0;160.0
Bugalagrande;2013-02-13;30.7;18.9;75.0;486.0
La Paila;2013-02-13;30.3;18.1;72.0;479.0
Bugalagrande;2013-02-14;27.9;17.5;80.0;404.0
La Paila;2013-02-14;27.5;17.6;78.0;336.0
Bugalagrande;2013-02-15;30.9;15.3;75.0;442.0
La Paila;2013-02-15;31.8;15.8;70.0;476.0
Bugalagrande;2013-02-16;31.7;17.2;76.0;509.0
La Paila;2013-02-16;32.1;17.6;73.0;453.0
Bugalagrande;2013-02-17;27.3;19.0;89.0;264.0
La Paila;2013-02-17;27.1;18.6;84.0;208.0
Bugalagrande;2013-02-18;28.5;18.5;83.0;371.0
La Paila;2013-02-18;30.6;18.1;77.0;439.0
Bugalagrande;2013-02-19;31.6;17.7;75.0;504.0
La Paila;2013-02-19;32.3;17.7;73.0;484.0
Bugalagrande;2013-02-20;32.8;20.1;73.0;497.0
La Paila;2013-02-20;32.1;19.8;69.0;455.0
Bugalagrande;2013-02-21;29.8;20.3;78.0;324.0
La Paila;2013-02-21;30.6;20.4;76.0;359.0
Bugalagrande;2013-02-22;32.1;18.7;76.0;417.0
La Paila;2013-02-22;31.9;18.9;73.0;403.0
Bugalagrande;2013-02-23;32.3;19.0;75.0;437.0
La Paila;2013-02-23;32.5;19.2;71.0;376.0
Bugalagrande;2013-02-24;29.5;18.9;83.0;280.0
La Paila;2013-02-24;28.5;19.1;81.0;266.0
Bugalagrande;2013-02-25;32.1;18.5;77.0;455.0
La Paila;2013-02-25;32.1;18.8;73.0;388.0
Bugalagrande;2013-02-26;31.4;19.0;76.0;386.0
La Paila;2013-02-26;31.5;19.2;72.0;343.0
Bugalagrande;2013-02-27;30.9;19.5;78.0;369.0
La Paila;2013-02-27;31.1;19.4;75.0;326.0
Bugalagrande;2013-02-28;30.3;20.7;78.0;357.0
La Paila;2013-02-28;29.5;20.8;78.0;294.0
Bugalagrande;2013-03-01;30.4;19.9;82.0;362.0
La Paila;2013-03-01;30.7;20.3;81.0;302.0
Bugalagrande;2013-03-02;30.9;19.8;79.0;350.0
La Paila;2013-03-02;30.7;19.0;75.0;399.0
Bugalagrande;2013-03-03;30.4;19.8;79.0;325.0
La Paila;2013-03-03;30.4;20.2;73.0;326.0
Bugalagrande;2013-03-04;29.0;19.1;80.0;264.0
La Paila;2013-03-04;30.0;19.6;75.0;249.0
Bugalagrande;2013-03-05;33.3;18.5;75.0;529.0
La Paila;2013-03-05;33.7;19.2;73.0;477.0
Bugalagrande;2013-03-06;31.5;19.8;85.0;365.0
La Paila;2013-03-06;31.9;20.0;78.0;382.0
Bugalagrande;2013-03-07;30.5;18.3;81.0;467.0
La Paila;2013-03-07;30.1;18.6;78.0;408.0
Bugalagrande;2013-03-08;32.7;18.6;76.0;488.0
La Paila;2013-03-08;32.2;19.0;73.0;404.0
Bugalagrande;2013-03-09;29.7;19.6;80.0;256.0
La Paila;2013-03-09;30.3;19.8;76.0;249.0
Bugalagrande;2013-03-10;31.7;18.6;76.0;447.0
La Paila;2013-03-10;31.9;18.4;72.0;387.0
Bugalagrande;2013-03-11;32.1;19.3;77.0;478.0
La Paila;2013-03-11;32.9;20.0;72.0;442.0
Bugalagrande;2013-03-12;32.5;20.2;79.0;494.0
La Paila;2013-03-12;32.4;20.5;77.0;438.0
Bugalagrande;2013-03-13;28.7;20.4;87.0;322.0
La Paila;2013-03-13;28.2;20.9;85.0;219.0
Bugalagrande;2013-03-14;30.5;18.9;80.0;456.0
La Paila;2013-03-14;31.8;19.7;78.0;385.0
Bugalagrande;2013-03-15;25.0;18.1;90.0;204.0
La Paila;2013-03-15;25.4;18.3;87.0;178.0
Bugalagrande;2013-03-16;31.1;17.2;79.0;533.0
La Paila;2013-03-16;31.5;17.4;75.0;458.0
Bugalagrande;2013-03-17;30.6;18.6;83.0;438.0
La Paila;2013-03-17;31.1;18.7;79.0;374.0
Bugalagrande;2013-03-18;30.1;18.1;82.0;483.0
La Paila;2013-03-18;29.8;18.4;77.0;430.0
Bugalagrande;2013-03-19;30.7;20.2;78.0;401.0
La Paila;2013-03-19;30.6;20.7;73.0;337.0
Bugalagrande;2013-03-20;31.2;19.9;80.0;409.0
La Paila;2013-03-20;30.8;20.2;74.0;399.0
Bugalagrande;2013-03-21;23.9;19.4;90.0;105.0
La Paila;2013-03-21;23.8;19.5;86.0;104.0
Bugalagrande;2013-03-22;28.7;18.7;81.0;370.0
La Paila;2013-03-22;29.4;19.1;77.0;291.0
Bugalagrande;2013-03-23;28.9;19.5;82.0;335.0
La Paila;2013-03-23;28.7;19.4;76.0;274.0
Bugalagrande;2013-03-24;31.3;19.1;79.0;423.0
La Paila;2013-03-24;31.2;18.9;76.0;360.0
Bugalagrande;2013-03-25;32.1;19.4;80.0;520.0
La Paila;2013-03-25;31.4;19.5;75.0;393.0
Bugalagrande;2013-03-26;26.7;17.3;89.0;181.0
La Paila;2013-03-26;28.2;17.7;81.0;224.0
Bugalagrande;2013-03-27;31.0;16.5;78.0;518.0
La Paila;2013-03-27;31.8;16.4;73.0;458.0
Bugalagrande;2013-03-28;31.2;19.2;77.0;407.0
La Paila;2013-03-28;30.7;20.0;72.0;366.0
Bugalagrande;2013-03-29;32.7;18.6;75.0;482.0
La Paila;2013-03-29;32.5;18.7;70.0;454.0
Bugalagrande;2013-03-30;31.1;19.5;76.0;361.0
La Paila;2013-03-30;31.7;19.5;71.0;334.0
Bugalagrande;2013-03-31;33.8;18.5;74.0;473.0
La Paila;2013-03-31;33.9;19.3;69.0;449.0
Bugalagrande;2013-04-01;31.1;20.2;79.0;296.0
La Paila;2013-04-01;31.9;20.3;75.0;308.0
