HACIENDA;PLUV;Fecha;Precipitaci?n (mm);;;
1/2 Luna Caseta Caida ;411;4/01/2020;0;;;
Peralonso Los Chivos;405;4/01/2020;0;;;
Normandia;406;4/01/2020;0;;;
Normandia - Duran;407;4/01/2020;0;;;
Normandia;408;4/01/2020;0;;;
Normandia - Estacion Drenaje;409;4/01/2020;0;;;
Morillo ;502;5/01/2020;0;;;
La Luisa 2;207;5/01/2020;0;;;
La Luisa 2;208;5/01/2020;0;;;
La Luisa 2;209;5/01/2020;0;;;
La Luisa 2;210;5/01/2020;0;;;
Zambrano;213;5/01/2020;0;;;
San Carlos;700;5/01/2020;0;;;
La Luisa 1;211;5/01/2020;0;;;
La Luisa 1;212;5/01/2020;0;;;
Lagunas ;214;5/01/2020;0;;;
Lagunas ;215;5/01/2020;0;;;
Paila Arriba;303;5/01/2020;0;;;
Riopaila La Ranchera;304;5/01/2020;0;;;
Riopaila La Pista;305;5/01/2020;0;;;
Riopaila Agricola;417;5/01/2020;0;;;
Mangos;701;5/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;5/01/2020;0;;;
Venecia 1;401;5/01/2020;0;;;
Venecia 2;402;5/01/2020;0;;;
Tequendama ;412;5/01/2020;0;;;
Ukrania Venecia;414;5/01/2020;0;;;
Gertrudis ;503;5/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;5/01/2020;0;;;
San Nicolas;505;5/01/2020;0;;;
San Nicolas;506;5/01/2020;0;;;
Valparaiso ;307;5/01/2020;0;;;
Valparaiso ;308;5/01/2020;0;;;
Ukrania Morillo;501;5/01/2020;0;;;
Peralonso El Mateo;403;5/01/2020;0;;;
Peralonso ;404;5/01/2020;0;;;
1/2 Luna Caseta Caida ;411;5/01/2020;0;;;
Peralonso Los Chivos;405;5/01/2020;0;;;
Normandia;406;5/01/2020;0;;;
Normandia - Duran;407;5/01/2020;0;;;
Normandia;408;5/01/2020;0;;;
Normandia - Estacion Drenaje;409;5/01/2020;0;;;
Morillo ;502;6/01/2020;0;;;
La Luisa 2;207;6/01/2020;0;;;
La Luisa 2;208;6/01/2020;0;;;
La Luisa 2;209;6/01/2020;0;;;
La Luisa 2;210;6/01/2020;0;;;
Zambrano;213;6/01/2020;0;;;
San Carlos;700;6/01/2020;0;;;
La Luisa 1;211;6/01/2020;0;;;
La Luisa 1;212;6/01/2020;0;;;
Lagunas ;214;6/01/2020;0;;;
Lagunas ;215;6/01/2020;0;;;
Paila Arriba;303;6/01/2020;0;;;
Riopaila La Ranchera;304;6/01/2020;0;;;
Riopaila La Pista;305;6/01/2020;0;;;
Riopaila Agricola;417;6/01/2020;0;;;
Mangos;701;6/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;6/01/2020;0;;;
Venecia 1;401;6/01/2020;0;;;
Venecia 2;402;6/01/2020;0;;;
Tequendama ;412;6/01/2020;0;;;
Ukrania Venecia;414;6/01/2020;0;;;
Gertrudis ;503;6/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;6/01/2020;0;;;
San Nicolas;505;6/01/2020;0;;;
San Nicolas;506;6/01/2020;0;;;
Valparaiso ;307;6/01/2020;0;;;
Valparaiso ;308;6/01/2020;0;;;
Ukrania Morillo;501;6/01/2020;0;;;
Peralonso El Mateo;403;6/01/2020;0;;;
Peralonso ;404;6/01/2020;0;;;
1/2 Luna Caseta Caida ;411;6/01/2020;0;;;
Peralonso Los Chivos;405;6/01/2020;0;;;
Normandia;406;6/01/2020;0;;;
Normandia - Duran;407;6/01/2020;0;;;
Normandia;408;6/01/2020;0;;;
Normandia - Estacion Drenaje;409;6/01/2020;0;;;
Morillo ;502;7/01/2020;0;;;
La Luisa 2;207;7/01/2020;0;;;
La Luisa 2;208;7/01/2020;0;;;
La Luisa 2;209;7/01/2020;0;;;
La Luisa 2;210;7/01/2020;0;;;
Zambrano;213;7/01/2020;0;;;
San Carlos;700;7/01/2020;0;;;
La Luisa 1;211;7/01/2020;0;;;
La Luisa 1;212;7/01/2020;0;;;
Lagunas ;214;7/01/2020;0;;;
Lagunas ;215;7/01/2020;0;;;
Paila Arriba;303;7/01/2020;0;;;
Riopaila La Ranchera;304;7/01/2020;0;;;
Riopaila La Pista;305;7/01/2020;0;;;
Riopaila Agricola;417;7/01/2020;0;;;
Mangos;701;7/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;7/01/2020;0;;;
Venecia 1;401;7/01/2020;0;;;
Venecia 2;402;7/01/2020;0;;;
Tequendama ;412;7/01/2020;0;;;
Ukrania Venecia;414;7/01/2020;0;;;
Gertrudis ;503;7/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;7/01/2020;0;;;
San Nicolas;505;7/01/2020;0;;;
San Nicolas;506;7/01/2020;0;;;
Valparaiso ;307;7/01/2020;0;;;
Valparaiso ;308;7/01/2020;0;;;
Ukrania Morillo;501;7/01/2020;0;;;
Peralonso El Mateo;403;7/01/2020;0;;;
Peralonso ;404;7/01/2020;0;;;
1/2 Luna Caseta Caida ;411;7/01/2020;0;;;
Peralonso Los Chivos;405;7/01/2020;0;;;
Normandia;406;7/01/2020;0;;;
Normandia - Duran;407;7/01/2020;0;;;
Normandia;408;7/01/2020;0;;;
Normandia - Estacion Drenaje;409;7/01/2020;0;;;
Morillo ;502;8/01/2020;0;;;
La Luisa 2;207;8/01/2020;0;;;
La Luisa 2;208;8/01/2020;0;;;
La Luisa 2;209;8/01/2020;0;;;
La Luisa 2;210;8/01/2020;0;;;
Zambrano;213;8/01/2020;0;;;
San Carlos;700;8/01/2020;0;;;
La Luisa 1;211;8/01/2020;0;;;
La Luisa 1;212;8/01/2020;0;;;
Lagunas ;214;8/01/2020;0;;;
Lagunas ;215;8/01/2020;0;;;
Paila Arriba;303;8/01/2020;0;;;
Riopaila La Ranchera;304;8/01/2020;0;;;
Riopaila La Pista;305;8/01/2020;0;;;
Riopaila Agricola;417;8/01/2020;0;;;
Mangos;701;8/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;8/01/2020;0;;;
Venecia 1;401;8/01/2020;0;;;
Venecia 2;402;8/01/2020;0;;;
Tequendama ;412;8/01/2020;0;;;
Ukrania Venecia;414;8/01/2020;0;;;
Gertrudis ;503;8/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;8/01/2020;0;;;
San Nicolas;505;8/01/2020;0;;;
San Nicolas;506;8/01/2020;0;;;
Valparaiso ;307;8/01/2020;0;;;
Valparaiso ;308;8/01/2020;0;;;
Ukrania Morillo;501;8/01/2020;0;;;
Peralonso El Mateo;403;8/01/2020;0;;;
Peralonso ;404;8/01/2020;0;;;
1/2 Luna Caseta Caida ;411;8/01/2020;0;;;
Peralonso Los Chivos;405;8/01/2020;0;;;
Normandia;406;8/01/2020;0;;;
Normandia - Duran;407;8/01/2020;0;;;
Normandia;408;8/01/2020;0;;;
Normandia - Estacion Drenaje;409;8/01/2020;0;;;
Morillo ;502;9/01/2020;0;;;
La Luisa 2;207;9/01/2020;0;;;
La Luisa 2;208;9/01/2020;0;;;
La Luisa 2;209;9/01/2020;0;;;
La Luisa 2;210;9/01/2020;0;;;
Zambrano;213;9/01/2020;0;;;
San Carlos;700;9/01/2020;0;;;
La Luisa 1;211;9/01/2020;0;;;
La Luisa 1;212;9/01/2020;0;;;
Lagunas ;214;9/01/2020;0;;;
Lagunas ;215;9/01/2020;0;;;
Paila Arriba;303;9/01/2020;0;;;
Riopaila La Ranchera;304;9/01/2020;0;;;
Riopaila La Pista;305;9/01/2020;0;;;
Riopaila Agricola;417;9/01/2020;0;;;
Mangos;701;9/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;9/01/2020;0;;;
Venecia 1;401;9/01/2020;0;;;
Venecia 2;402;9/01/2020;0;;;
Tequendama ;412;9/01/2020;0;;;
Ukrania Venecia;414;9/01/2020;0;;;
Gertrudis ;503;9/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;9/01/2020;0;;;
San Nicolas;505;9/01/2020;0;;;
San Nicolas;506;9/01/2020;0;;;
Valparaiso ;307;9/01/2020;0;;;
Valparaiso ;308;9/01/2020;0;;;
Ukrania Morillo;501;9/01/2020;0;;;
Peralonso El Mateo;403;9/01/2020;0;;;
Peralonso ;404;9/01/2020;0;;;
1/2 Luna Caseta Caida ;411;9/01/2020;0;;;
Peralonso Los Chivos;405;9/01/2020;0;;;
Normandia;406;9/01/2020;0;;;
Normandia - Duran;407;9/01/2020;0;;;
Normandia;408;9/01/2020;0;;;
Normandia - Estacion Drenaje;409;9/01/2020;0;;;
Morillo ;502;10/01/2020;0;;;
La Luisa 2;207;10/01/2020;0;;;
La Luisa 2;208;10/01/2020;0;;;
La Luisa 2;209;10/01/2020;0;;;
La Luisa 2;210;10/01/2020;0;;;
Zambrano;213;10/01/2020;0;;;
San Carlos;700;10/01/2020;0;;;
La Luisa 1;211;10/01/2020;0;;;
La Luisa 1;212;10/01/2020;0;;;
Lagunas ;214;10/01/2020;0;;;
Lagunas ;215;10/01/2020;0;;;
Paila Arriba;303;10/01/2020;0;;;
Riopaila La Ranchera;304;10/01/2020;0;;;
Riopaila La Pista;305;10/01/2020;0;;;
Riopaila Agricola;417;10/01/2020;0;;;
Mangos;701;10/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;10/01/2020;0;;;
Venecia 1;401;10/01/2020;0;;;
Venecia 2;402;10/01/2020;0;;;
Tequendama ;412;10/01/2020;0;;;
Ukrania Venecia;414;10/01/2020;0;;;
Gertrudis ;503;10/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;10/01/2020;0;;;
San Nicolas;505;10/01/2020;0;;;
San Nicolas;506;10/01/2020;0;;;
Valparaiso ;307;10/01/2020;0;;;
Valparaiso ;308;10/01/2020;0;;;
Ukrania Morillo;501;10/01/2020;0;;;
Peralonso El Mateo;403;10/01/2020;0;;;
Peralonso ;404;10/01/2020;0;;;
1/2 Luna Caseta Caida ;411;10/01/2020;0;;;
Peralonso Los Chivos;405;10/01/2020;0;;;
Normandia;406;10/01/2020;0;;;
Normandia - Duran;407;10/01/2020;0;;;
Normandia;408;10/01/2020;0;;;
Normandia - Estacion Drenaje;409;10/01/2020;0;;;
Morillo ;502;11/01/2020;0;;;
La Luisa 2;207;11/01/2020;0;;;
La Luisa 2;208;11/01/2020;0;;;
La Luisa 2;209;11/01/2020;0;;;
La Luisa 2;210;11/01/2020;0;;;
Zambrano;213;11/01/2020;0;;;
San Carlos;700;11/01/2020;0;;;
La Luisa 1;211;11/01/2020;0;;;
La Luisa 1;212;11/01/2020;0;;;
Lagunas ;214;11/01/2020;0;;;
Lagunas ;215;11/01/2020;0;;;
Paila Arriba;303;11/01/2020;0;;;
Riopaila La Ranchera;304;11/01/2020;0;;;
Riopaila La Pista;305;11/01/2020;0;;;
Riopaila Agricola;417;11/01/2020;0;;;
Mangos;701;11/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;11/01/2020;0;;;
Venecia 1;401;11/01/2020;0;;;
Venecia 2;402;11/01/2020;0;;;
Tequendama ;412;11/01/2020;0;;;
Ukrania Venecia;414;11/01/2020;0;;;
Gertrudis ;503;11/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;11/01/2020;0;;;
San Nicolas;505;11/01/2020;0;;;
San Nicolas;506;11/01/2020;0;;;
Valparaiso ;307;11/01/2020;0;;;
