HACIENDA;PLUV;Fecha;Precipitaci?n (mm);;;
Ukrania Morillo;501;27/11/2020;24;;;
Peralonso El Mateo;403;27/11/2020;4;;;
Peralonso ;404;27/11/2020;2;;;
1/2 Luna Caseta Caida ;411;27/11/2020;5;;;
Peralonso Los Chivos;405;27/11/2020;2;;;
Normandia;406;27/11/2020;6;;;
Normandia - Duran;407;27/11/2020;12;;;
Normandia;408;27/11/2020;4;;;
Normandia - Estacion Drenaje;409;27/11/2020;5;;;
Morillo ;502;28/11/2020;0;;;
La Luisa 2;207;28/11/2020;0;;;
La Luisa 2;208;28/11/2020;0;;;
La Luisa 2;209;28/11/2020;0;;;
La Luisa 2;210;28/11/2020;0;;;
Zambrano;213;28/11/2020;0;;;
San Carlos;700;28/11/2020;0;;;
La Luisa 1;211;28/11/2020;0;;;
La Luisa 1;212;28/11/2020;0;;;
Lagunas ;214;28/11/2020;0;;;
Lagunas ;215;28/11/2020;0;;;
Paila Arriba;303;28/11/2020;0;;;
Riopaila La Ranchera;304;28/11/2020;0;;;
Riopaila La Pista;305;28/11/2020;0;;;
Riopaila Agricola;417;28/11/2020;0;;;
Mangos;701;28/11/2020;0;;;
Pluviometro Riopaila Agricola ;306;28/11/2020;0;;;
Venecia 1;401;28/11/2020;0;;;
Venecia 2;402;28/11/2020;0;;;
Tequendama ;412;28/11/2020;0;;;
Ukrania Venecia;414;28/11/2020;0;;;
Gertrudis ;503;28/11/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;28/11/2020;0;;;
San Nicolas;505;28/11/2020;0;;;
San Nicolas;506;28/11/2020;0;;;
Valparaiso ;307;28/11/2020;0;;;
Valparaiso ;308;28/11/2020;0;;;
Ukrania Morillo;501;28/11/2020;0;;;
Peralonso El Mateo;403;28/11/2020;0;;;
Peralonso ;404;28/11/2020;0;;;
1/2 Luna Caseta Caida ;411;28/11/2020;0;;;
Peralonso Los Chivos;405;28/11/2020;0;;;
Normandia;406;28/11/2020;0;;;
Normandia - Duran;407;28/11/2020;0;;;
Normandia;408;28/11/2020;0;;;
Normandia - Estacion Drenaje;409;28/11/2020;0;;;
Morillo ;502;29/11/2020;0;;;
La Luisa 2;207;29/11/2020;0;;;
La Luisa 2;208;29/11/2020;0;;;
La Luisa 2;209;29/11/2020;0;;;
La Luisa 2;210;29/11/2020;0;;;
Zambrano;213;29/11/2020;0;;;
San Carlos;700;29/11/2020;0;;;
La Luisa 1;211;29/11/2020;0;;;
La Luisa 1;212;29/11/2020;0;;;
Lagunas ;214;29/11/2020;0;;;
Lagunas ;215;29/11/2020;0;;;
Paila Arriba;303;29/11/2020;0;;;
Riopaila La Ranchera;304;29/11/2020;0;;;
Riopaila La Pista;305;29/11/2020;0;;;
Riopaila Agricola;417;29/11/2020;0;;;
Mangos;701;29/11/2020;0;;;
Pluviometro Riopaila Agricola ;306;29/11/2020;0;;;
Venecia 1;401;29/11/2020;0;;;
Venecia 2;402;29/11/2020;0;;;
Tequendama ;412;29/11/2020;0;;;
Ukrania Venecia;414;29/11/2020;0;;;
Gertrudis ;503;29/11/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;29/11/2020;0;;;
San Nicolas;505;29/11/2020;0;;;
San Nicolas;506;29/11/2020;0;;;
Valparaiso ;307;29/11/2020;0;;;
Valparaiso ;308;29/11/2020;0;;;
Ukrania Morillo;501;29/11/2020;0;;;
Peralonso El Mateo;403;29/11/2020;0;;;
Peralonso ;404;29/11/2020;0;;;
1/2 Luna Caseta Caida ;411;29/11/2020;0;;;
Peralonso Los Chivos;405;29/11/2020;0;;;
Normandia;406;29/11/2020;0;;;
Normandia - Duran;407;29/11/2020;0;;;
Normandia;408;29/11/2020;0;;;
Normandia - Estacion Drenaje;409;29/11/2020;0;;;
Morillo ;502;30/11/2020;4;;;
La Luisa 2;207;30/11/2020;56;;;
La Luisa 2;208;30/11/2020;61;;;
La Luisa 2;209;30/11/2020;55;;;
La Luisa 2;210;30/11/2020;43;;;
Zambrano;213;30/11/2020;50;;;
San Carlos;700;30/11/2020;48;;;
La Luisa 1;211;30/11/2020;55;;;
La Luisa 1;212;30/11/2020;46;;;
Lagunas ;214;30/11/2020;52;;;
Lagunas ;215;30/11/2020;60;;;
Paila Arriba;303;30/11/2020;7;;;
Riopaila La Ranchera;304;30/11/2020;48;;;
Riopaila La Pista;305;30/11/2020;36;;;
Riopaila Agricola;417;30/11/2020;52;;;
Mangos;701;30/11/2020;6;;;
Pluviometro Riopaila Agricola ;306;30/11/2020;31;;;
Venecia 1;401;30/11/2020;21;;;
Venecia 2;402;30/11/2020;32;;;
Tequendama ;412;30/11/2020;11;;;
Ukrania Venecia;414;30/11/2020;13;;;
Gertrudis ;503;30/11/2020;3;;;
Gertrudis - Porteria La Gertrudis;504;30/11/2020;0;;;
San Nicolas;505;30/11/2020;3;;;
San Nicolas;506;30/11/2020;4;;;
Valparaiso ;307;30/11/2020;10;;;
Valparaiso ;308;30/11/2020;20;;;
Ukrania Morillo;501;30/11/2020;15;;;
Peralonso El Mateo;403;30/11/2020;45;;;
Peralonso ;404;30/11/2020;40;;;
1/2 Luna Caseta Caida ;411;30/11/2020;55;;;
Peralonso Los Chivos;405;30/11/2020;40;;;
Normandia;406;30/11/2020;13;;;
Normandia - Duran;407;30/11/2020;5;;;
Normandia;408;30/11/2020;20;;;
Normandia - Estacion Drenaje;409;30/11/2020;18;;;
La Luisa 2;207;1/12/2020;22;;;
La Luisa 2;208;1/12/2020;8;;;
La Luisa 2;209;1/12/2020;14;;;
La Luisa 2;210;1/12/2020;7;;;
La Luisa 1;211;1/12/2020;2;;;
La Luisa 1;212;1/12/2020;5;;;
Zambrano;213;1/12/2020;14;;;
Lagunas;214;1/12/2020;0;;;
Lagunas;215;1/12/2020;0;;;
Paila Arriba;303;1/12/2020;0;;;
Riopaila La Ranchera;304;1/12/2020;4;;;
Riopaila La Pista;305;1/12/2020;15;;;
Valparaiso;307;1/12/2020;26;;;
Valparaiso;308;1/12/2020;20;;;
Venecia 1;401;1/12/2020;17;;;
Venecia 2;402;1/12/2020;2;;;
Peralonso El Mateo;403;1/12/2020;0;;;
Peralonso ;404;1/12/2020;0;;;
Peralonso Los Chivos;405;1/12/2020;0;;;
Normandia;406;1/12/2020;7;;;
Normandia - Duran;407;1/12/2020;0;;;
Normandia - Estacion Drenaje;409;1/12/2020;8;;;
1/2 Luna Caseta Caida ;411;1/12/2020;2;;;
Tequendama;412;1/12/2020;0;;;
Ukrania Venecia;414;1/12/2020;14;;;
Riopaila Agricola;417;1/12/2020;7;;;
Ukrania Morillo;501;1/12/2020;41;;;
Gertrudis;503;1/12/2020;4;;;
Gertrudis - Porteria La Gertrudis;504;1/12/2020;1;;;
San Nicolas;505;1/12/2020;2;;;
San Nicolas;506;1/12/2020;6;;;
San Carlos;700;1/12/2020;15;;;
Mangos;701;1/12/2020;3;;;
La Luisa 2;207;2/12/2020;16;;;
La Luisa 2;208;2/12/2020;17;;;
La Luisa 2;209;2/12/2020;11;;;
La Luisa 2;210;2/12/2020;9;;;
La Luisa 1;211;2/12/2020;9;;;
La Luisa 1;212;2/12/2020;14;;;
Zambrano;213;2/12/2020;15;;;
Lagunas;214;2/12/2020;15;;;
Lagunas;215;2/12/2020;13;;;
Paila Arriba;303;2/12/2020;13;;;
Riopaila La Ranchera;304;2/12/2020;8;;;
Riopaila La Pista;305;2/12/2020;5;;;
Valparaiso;307;2/12/2020;15;;;
Valparaiso;308;2/12/2020;4;;;
Venecia 1;401;2/12/2020;11;;;
Venecia 2;402;2/12/2020;9;;;
Peralonso El Mateo;403;2/12/2020;13;;;
Peralonso ;404;2/12/2020;15;;;
Peralonso Los Chivos;405;2/12/2020;13;;;
Normandia;406;2/12/2020;9;;;
Normandia - Duran;407;2/12/2020;16;;;
Normandia - Estacion Drenaje;409;2/12/2020;8;;;
1/2 Luna Caseta Caida ;411;2/12/2020;10;;;
Tequendama;412;2/12/2020;11;;;
Ukrania Venecia;414;2/12/2020;14;;;
Riopaila Agricola;417;2/12/2020;4;;;
Ukrania Morillo;501;2/12/2020;34;;;
Gertrudis;503;2/12/2020;15;;;
Gertrudis - Porteria La Gertrudis;504;2/12/2020;23;;;
San Nicolas;505;2/12/2020;11;;;
San Nicolas;506;2/12/2020;10;;;
San Carlos;700;2/12/2020;14;;;
Mangos;701;2/12/2020;0;;;
La Luisa 2;207;3/12/2020;0;;;
La Luisa 2;208;3/12/2020;0;;;
La Luisa 2;209;3/12/2020;0;;;
La Luisa 2;210;3/12/2020;0;;;
La Luisa 1;211;3/12/2020;0;;;
La Luisa 1;212;3/12/2020;0;;;
Zambrano;213;3/12/2020;0;;;
Lagunas;214;3/12/2020;0;;;
Lagunas;215;3/12/2020;0;;;
Paila Arriba;303;3/12/2020;0;;;
Riopaila La Ranchera;304;3/12/2020;0;;;
Riopaila La Pista;305;3/12/2020;0;;;
Valparaiso;307;3/12/2020;0;;;
Valparaiso;308;3/12/2020;0;;;
Venecia 1;401;3/12/2020;0;;;
Venecia 2;402;3/12/2020;0;;;
Peralonso El Mateo;403;3/12/2020;0;;;
Peralonso ;404;3/12/2020;0;;;
Peralonso Los Chivos;405;3/12/2020;0;;;
Normandia;406;3/12/2020;0;;;
Normandia - Duran;407;3/12/2020;0;;;
Normandia - Estacion Drenaje;409;3/12/2020;0;;;
1/2 Luna Caseta Caida ;411;3/12/2020;0;;;
Tequendama;412;3/12/2020;0;;;
Ukrania Venecia;414;3/12/2020;0;;;
Riopaila Agricola;417;3/12/2020;0;;;
Ukrania Morillo;501;3/12/2020;0;;;
Gertrudis;503;3/12/2020;2;;;
Gertrudis - Porteria La Gertrudis;504;3/12/2020;2;;;
San Nicolas;505;3/12/2020;4;;;
San Nicolas;506;3/12/2020;0;;;
San Carlos;700;3/12/2020;0;;;
Mangos;701;3/12/2020;0;;;
La Luisa 2;207;4/12/2020;0;;;
La Luisa 2;208;4/12/2020;0;;;
La Luisa 2;209;4/12/2020;0;;;
La Luisa 2;210;4/12/2020;0;;;
La Luisa 1;211;4/12/2020;0;;;
La Luisa 1;212;4/12/2020;0;;;
Zambrano;213;4/12/2020;0;;;
Lagunas;214;4/12/2020;0;;;
Lagunas;215;4/12/2020;0;;;
Paila Arriba;303;4/12/2020;0;;;
Riopaila La Ranchera;304;4/12/2020;0;;;
Riopaila La Pista;305;4/12/2020;0;;;
Valparaiso;307;4/12/2020;0;;;
Valparaiso;308;4/12/2020;0;;;
Venecia 1;401;4/12/2020;0;;;
Venecia 2;402;4/12/2020;0;;;
Peralonso El Mateo;403;4/12/2020;0;;;
Peralonso ;404;4/12/2020;0;;;
Peralonso Los Chivos;405;4/12/2020;0;;;
Normandia;406;4/12/2020;0;;;
Normandia - Duran;407;4/12/2020;0;;;
Normandia - Estacion Drenaje;409;4/12/2020;0;;;
1/2 Luna Caseta Caida ;411;4/12/2020;0;;;
Tequendama;412;4/12/2020;0;;;
Ukrania Venecia;414;4/12/2020;0;;;
Riopaila Agricola;417;4/12/2020;0;;;
Ukrania Morillo;501;4/12/2020;0;;;
Gertrudis;503;4/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;4/12/2020;0;;;
San Nicolas;505;4/12/2020;0;;;
San Nicolas;506;4/12/2020;0;;;
San Carlos;700;4/12/2020;0;;;
Mangos;701;4/12/2020;0;;;
La Luisa 2;208;5/12/2020;0;;;
La Luisa 2;209;5/12/2020;0;;;
La Luisa 2;210;5/12/2020;0;;;
La Luisa 1;211;5/12/2020;0;;;
La Luisa 1;212;5/12/2020;0;;;
Zambrano;213;5/12/2020;0;;;
Lagunas;214;5/12/2020;0;;;
Lagunas;215;5/12/2020;0;;;
Paila Arriba;303;5/12/2020;0;;;
Riopaila La Ranchera;304;5/12/2020;0;;;
Riopaila La Pista;305;5/12/2020;0;;;
Valparaiso;307;5/12/2020;0;;;
Valparaiso;308;5/12/2020;0;;;
Venecia 1;401;5/12/2020;0;;;
Venecia 2;402;5/12/2020;0;;;
Peralonso El Mateo;403;5/12/2020;0;;;
Peralonso ;404;5/12/2020;0;;;
Peralonso Los Chivos;405;5/12/2020;0;;;
Normandia;406;5/12/2020;0;;;
Normandia - Duran;407;5/12/2020;0;;;
Normandia - Estacion Drenaje;409;5/12/2020;0;;;
1/2 Luna Caseta Caida ;411;5/12/2020;0;;;
Tequendama;412;5/12/2020;0;;;
Ukrania Venecia;414;5/12/2020;0;;;
Riopaila Agricola;417;5/12/2020;0;;;
Ukrania Morillo;501;5/12/2020;0;;;
Gertrudis;503;5/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;5/12/2020;0;;;
San Nicolas;505;5/12/2020;0;;;
San Nicolas;506;5/12/2020;0;;;
San Carlos;700;5/12/2020;0;;;
Mangos;701;5/12/2020;0;;;
La Luisa 2;208;6/12/2020;0;;;
La Luisa 2;209;6/12/2020;0;;;
La Luisa 2;210;6/12/2020;0;;;
La Luisa 1;211;6/12/2020;0;;;
La Luisa 1;212;6/12/2020;0;;;
Zambrano;213;6/12/2020;0;;;
Lagunas;214;6/12/2020;0;;;
Lagunas;215;6/12/2020;0;;;
Paila Arriba;303;6/12/2020;0;;;
Riopaila La Ranchera;304;6/12/2020;0;;;
Riopaila La Pista;305;6/12/2020;0;;;
Valparaiso;307;6/12/2020;0;;;
Valparaiso;308;6/12/2020;0;;;
Venecia 1;401;6/12/2020;0;;;
Venecia 2;402;6/12/2020;0;;;
Peralonso El Mateo;403;6/12/2020;0;;;
Peralonso ;404;6/12/2020;0;;;
Peralonso Los Chivos;405;6/12/2020;0;;;
Normandia;406;6/12/2020;0;;;
Normandia - Duran;407;6/12/2020;0;;;
Normandia - Estacion Drenaje;409;6/12/2020;0;;;
1/2 Luna Caseta Caida ;411;6/12/2020;0;;;
Tequendama;412;6/12/2020;0;;;
Ukrania Venecia;414;6/12/2020;0;;;
Riopaila Agricola;417;6/12/2020;0;;;
Ukrania Morillo;501;6/12/2020;0;;;
Gertrudis;503;6/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;6/12/2020;0;;;
San Nicolas;505;6/12/2020;0;;;
San Nicolas;506;6/12/2020;0;;;
San Carlos;700;6/12/2020;2;;;
Mangos;701;6/12/2020;0;;;
La Luisa 2;208;7/12/2020;0;;;
La Luisa 2;209;7/12/2020;0;;;
La Luisa 2;210;7/12/2020;0;;;
La Luisa 1;211;7/12/2020;0;;;
La Luisa 1;212;7/12/2020;0;;;
Zambrano;213;7/12/2020;0;;;
Lagunas;214;7/12/2020;0;;;
Lagunas;215;7/12/2020;0;;;
Paila Arriba;303;7/12/2020;0;;;
Riopaila La Ranchera;304;7/12/2020;0;;;
Riopaila La Pista;305;7/12/2020;0;;;
Valparaiso;307;7/12/2020;0;;;
Valparaiso;308;7/12/2020;0;;;
Venecia 1;401;7/12/2020;0;;;
Venecia 2;402;7/12/2020;0;;;
Peralonso El Mateo;403;7/12/2020;0;;;
Peralonso ;404;7/12/2020;0;;;
Peralonso Los Chivos;405;7/12/2020;0;;;
Normandia;406;7/12/2020;0;;;
Normandia - Duran;407;7/12/2020;0;;;
Normandia - Estacion Drenaje;409;7/12/2020;0;;;
1/2 Luna Caseta Caida ;411;7/12/2020;0;;;
Tequendama;412;7/12/2020;0;;;
Ukrania Venecia;414;7/12/2020;0;;;
Riopaila Agricola;417;7/12/2020;0;;;
Ukrania Morillo;501;7/12/2020;0;;;
Gertrudis;503;7/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;7/12/2020;2;;;
San Nicolas;505;7/12/2020;0;;;
San Nicolas;506;7/12/2020;0;;;
San Carlos;700;7/12/2020;0;;;
Mangos;701;7/12/2020;0;;;
La Luisa 2;208;8/12/2020;1;;;
La Luisa 2;209;8/12/2020;3;;;
La Luisa 2;210;8/12/2020;10;;;
La Luisa 1;211;8/12/2020;3;;;
La Luisa 1;212;8/12/2020;0;;;
Zambrano;213;8/12/2020;0;;;
Lagunas;214;8/12/2020;2;;;
Lagunas;215;8/12/2020;2;;;
Paila Arriba;303;8/12/2020;2;;;
Riopaila La Ranchera;304;8/12/2020;0;;;
Riopaila La Pista;305;8/12/2020;3;;;
Valparaiso;307;8/12/2020;20;;;
Valparaiso;308;8/12/2020;22;;;
Venecia 1;401;8/12/2020;7;;;
Venecia 2;402;8/12/2020;0;;;
Peralonso El Mateo;403;8/12/2020;3;;;
Peralonso ;404;8/12/2020;0;;;
Peralonso Los Chivos;405;8/12/2020;0;;;
Normandia;406;8/12/2020;3;;;
Normandia - Duran;407;8/12/2020;12;;;
Normandia - Estacion Drenaje;409;8/12/2020;3;;;
1/2 Luna Caseta Caida ;411;8/12/2020;8;;;
Tequendama;412;8/12/2020;0;;;
Ukrania Venecia;414;8/12/2020;0;;;
Riopaila Agricola;417;8/12/2020;0;;;
Ukrania Morillo;501;8/12/2020;12;;;
Gertrudis;503;8/12/2020;7;;;
Gertrudis - Porteria La Gertrudis;504;8/12/2020;13;;;
San Nicolas;505;8/12/2020;10;;;
San Nicolas;506;8/12/2020;12;;;
San Carlos;700;8/12/2020;8;;;
Mangos;701;8/12/2020;10;;;
La Luisa 2;208;9/12/2020;0;;;
La Luisa 2;209;9/12/2020;0;;;
La Luisa 2;210;9/12/2020;0;;;
La Luisa 1;211;9/12/2020;0;;;
La Luisa 1;212;9/12/2020;0;;;
Zambrano;213;9/12/2020;0;;;
Lagunas;214;9/12/2020;0;;;
Lagunas;215;9/12/2020;2;;;
Paila Arriba;303;9/12/2020;2;;;
Riopaila La Ranchera;304;9/12/2020;0;;;
Riopaila La Pista;305;9/12/2020;0;;;
Valparaiso;307;9/12/2020;0;;;
Valparaiso;308;9/12/2020;0;;;
Venecia 1;401;9/12/2020;0;;;
Venecia 2;402;9/12/2020;0;;;
Peralonso El Mateo;403;9/12/2020;3;;;
Peralonso ;404;9/12/2020;0;;;
Peralonso Los Chivos;405;9/12/2020;0;;;
Normandia;406;9/12/2020;3;;;
Normandia - Duran;407;9/12/2020;12;;;
Normandia - Estacion Drenaje;409;9/12/2020;0;;;
1/2 Luna Caseta Caida ;411;9/12/2020;0;;;
Tequendama;412;9/12/2020;0;;;
Ukrania Venecia;414;9/12/2020;0;;;
Riopaila Agricola;417;9/12/2020;0;;;
Ukrania Morillo;501;9/12/2020;12;;;
Gertrudis;503;9/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;9/12/2020;0;;;
San Nicolas;505;9/12/2020;0;;;
San Nicolas;506;9/12/2020;0;;;
San Carlos;700;9/12/2020;0;;;
Mangos;701;9/12/2020;0;;;
La Luisa 2;208;10/12/2020;0;;;
La Luisa 2;209;10/12/2020;0;;;
La Luisa 2;210;10/12/2020;0;;;
La Luisa 1;211;10/12/2020;0;;;
La Luisa 1;212;10/12/2020;0;;;
Zambrano;213;10/12/2020;0;;;
Lagunas;214;10/12/2020;0;;;
Lagunas;215;10/12/2020;0;;;
Paila Arriba;303;10/12/2020;0;;;
Riopaila La Ranchera;304;10/12/2020;0;;;
Riopaila La Pista;305;10/12/2020;0;;;
Valparaiso;307;10/12/2020;0;;;
Valparaiso;308;10/12/2020;0;;;
Venecia 1;401;10/12/2020;0;;;
Venecia 2;402;10/12/2020;0;;;
Peralonso El Mateo;403;10/12/2020;0;;;
Peralonso ;404;10/12/2020;0;;;
Peralonso Los Chivos;405;10/12/2020;0;;;
Normandia;406;10/12/2020;0;;;
Normandia - Duran;407;10/12/2020;0;;;
Normandia - Estacion Drenaje;409;10/12/2020;0;;;
1/2 Luna Caseta Caida ;411;10/12/2020;0;;;
Tequendama;412;10/12/2020;0;;;
Ukrania Venecia;414;10/12/2020;0;;;
Riopaila Agricola;417;10/12/2020;0;;;
Ukrania Morillo;501;10/12/2020;0;;;
Gertrudis;503;10/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;10/12/2020;0;;;
San Nicolas;505;10/12/2020;0;;;
San Nicolas;506;10/12/2020;0;;;
San Carlos;700;10/12/2020;0;;;
Mangos;701;10/12/2020;0;;;
La Luisa 2;208;11/12/2020;0;;;
La Luisa 2;209;11/12/2020;0;;;
La Luisa 2;210;11/12/2020;0;;;
La Luisa 1;211;11/12/2020;0;;;
La Luisa 1;212;11/12/2020;0;;;
Zambrano;213;11/12/2020;0;;;
Lagunas;214;11/12/2020;0;;;
Lagunas;215;11/12/2020;0;;;
Paila Arriba;303;11/12/2020;0;;;
Riopaila La Ranchera;304;11/12/2020;0;;;
Riopaila La Pista;305;11/12/2020;0;;;
Valparaiso;307;11/12/2020;0;;;
Valparaiso;308;11/12/2020;0;;;
Venecia 1;401;11/12/2020;0;;;
Venecia 2;402;11/12/2020;0;;;
Peralonso El Mateo;403;11/12/2020;0;;;
Peralonso ;404;11/12/2020;0;;;
Peralonso Los Chivos;405;11/12/2020;0;;;
Normandia;406;11/12/2020;0;;;
Normandia - Duran;407;11/12/2020;0;;;
Normandia - Estacion Drenaje;409;11/12/2020;0;;;
1/2 Luna Caseta Caida ;411;11/12/2020;0;;;
Tequendama;412;11/12/2020;0;;;
Ukrania Venecia;414;11/12/2020;0;;;
Riopaila Agricola;417;11/12/2020;0;;;
Ukrania Morillo;501;11/12/2020;0;;;
Gertrudis;503;11/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;11/12/2020;0;;;
San Nicolas;505;11/12/2020;0;;;
San Nicolas;506;11/12/2020;0;;;
San Carlos;700;11/12/2020;0;;;
Mangos;701;11/12/2020;0;;;
La Luisa 2;208;12/12/2020;0;;;
La Luisa 2;209;12/12/2020;0;;;
La Luisa 2;210;12/12/2020;0;;;
La Luisa 1;211;12/12/2020;0;;;
La Luisa 1;212;12/12/2020;0;;;
Zambrano;213;12/12/2020;0;;;
Lagunas;214;12/12/2020;0;;;
Lagunas;215;12/12/2020;0;;;
Paila Arriba;303;12/12/2020;0;;;
Riopaila La Ranchera;304;12/12/2020;0;;;
Riopaila La Pista;305;12/12/2020;0;;;
Valparaiso;307;12/12/2020;0;;;
Valparaiso;308;12/12/2020;0;;;
Venecia 1;401;12/12/2020;0;;;
Venecia 2;402;12/12/2020;0;;;
Peralonso El Mateo;403;12/12/2020;0;;;
Peralonso ;404;12/12/2020;0;;;
Peralonso Los Chivos;405;12/12/2020;0;;;
Normandia;406;12/12/2020;0;;;
Normandia - Duran;407;12/12/2020;0;;;
Normandia - Estacion Drenaje;409;12/12/2020;0;;;
1/2 Luna Caseta Caida ;411;12/12/2020;0;;;
Tequendama;412;12/12/2020;0;;;
Ukrania Venecia;414;12/12/2020;0;;;
Riopaila Agricola;417;12/12/2020;0;;;
Ukrania Morillo;501;12/12/2020;0;;;
Gertrudis;503;12/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;12/12/2020;0;;;
San Nicolas;505;12/12/2020;0;;;
San Nicolas;506;12/12/2020;0;;;
San Carlos;700;12/12/2020;0;;;
Mangos;701;12/12/2020;0;;;
La Luisa 2;208;13/12/2020;0;;;
La Luisa 2;209;13/12/2020;0;;;
La Luisa 2;210;13/12/2020;0;;;
La Luisa 1;211;13/12/2020;0;;;
La Luisa 1;212;13/12/2020;0;;;
Zambrano;213;13/12/2020;0;;;
Lagunas;214;13/12/2020;0;;;
Lagunas;215;13/12/2020;0;;;
Paila Arriba;303;13/12/2020;0;;;
Riopaila La Ranchera;304;13/12/2020;0;;;
Riopaila La Pista;305;13/12/2020;0;;;
Valparaiso;307;13/12/2020;0;;;
Valparaiso;308;13/12/2020;0;;;
Venecia 1;401;13/12/2020;0;;;
Venecia 2;402;13/12/2020;0;;;
Peralonso El Mateo;403;13/12/2020;0;;;
Peralonso ;404;13/12/2020;0;;;
Peralonso Los Chivos;405;13/12/2020;0;;;
Normandia;406;13/12/2020;0;;;
Normandia - Duran;407;13/12/2020;0;;;
Normandia - Estacion Drenaje;409;13/12/2020;0;;;
1/2 Luna Caseta Caida ;411;13/12/2020;0;;;
Tequendama;412;13/12/2020;0;;;
Ukrania Venecia;414;13/12/2020;0;;;
Riopaila Agricola;417;13/12/2020;0;;;
Ukrania Morillo;501;13/12/2020;0;;;
Gertrudis;503;13/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;13/12/2020;0;;;
San Nicolas;505;13/12/2020;0;;;
San Nicolas;506;13/12/2020;0;;;
San Carlos;700;13/12/2020;0;;;
Mangos;701;13/12/2020;0;;;
La Luisa 2;208;14/12/2020;0;;;
La Luisa 2;209;14/12/2020;0;;;
La Luisa 2;210;14/12/2020;0;;;
La Luisa 1;211;14/12/2020;0;;;
La Luisa 1;212;14/12/2020;0;;;
Zambrano;213;14/12/2020;0;;;
Lagunas;214;14/12/2020;0;;;
Lagunas;215;14/12/2020;0;;;
Paila Arriba;303;14/12/2020;0;;;
Riopaila La Ranchera;304;14/12/2020;0;;;
Riopaila La Pista;305;14/12/2020;0;;;
Valparaiso;307;14/12/2020;0;;;
Valparaiso;308;14/12/2020;0;;;
Venecia 1;401;14/12/2020;0;;;
Venecia 2;402;14/12/2020;0;;;
Peralonso El Mateo;403;14/12/2020;0;;;
Peralonso ;404;14/12/2020;0;;;
Peralonso Los Chivos;405;14/12/2020;0;;;
Normandia;406;14/12/2020;0;;;
Normandia - Duran;407;14/12/2020;0;;;
Normandia - Estacion Drenaje;409;14/12/2020;0;;;
1/2 Luna Caseta Caida ;411;14/12/2020;0;;;
Tequendama;412;14/12/2020;0;;;
Ukrania Venecia;414;14/12/2020;0;;;
Riopaila Agricola;417;14/12/2020;0;;;
Ukrania Morillo;501;14/12/2020;0;;;
Gertrudis;503;14/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;14/12/2020;0;;;
San Nicolas;505;14/12/2020;0;;;
San Nicolas;506;14/12/2020;0;;;
San Carlos;700;14/12/2020;0;;;
Mangos;701;14/12/2020;0;;;
La Luisa 2;208;15/12/2020;0;;;
La Luisa 2;209;15/12/2020;0;;;
La Luisa 2;210;15/12/2020;0;;;
La Luisa 1;211;15/12/2020;0;;;
La Luisa 1;212;15/12/2020;0;;;
Zambrano;213;15/12/2020;0;;;
Lagunas;214;15/12/2020;0;;;
Lagunas;215;15/12/2020;0;;;
Paila Arriba;303;15/12/2020;0;;;
Riopaila La Ranchera;304;15/12/2020;0;;;
Riopaila La Pista;305;15/12/2020;0;;;
Valparaiso;307;15/12/2020;0;;;
Valparaiso;308;15/12/2020;0;;;
Venecia 1;401;15/12/2020;0;;;
Venecia 2;402;15/12/2020;0;;;
Peralonso El Mateo;403;15/12/2020;0;;;
Peralonso ;404;15/12/2020;0;;;
Peralonso Los Chivos;405;15/12/2020;0;;;
Normandia;406;15/12/2020;0;;;
Normandia - Duran;407;15/12/2020;0;;;
Normandia;408;15/12/2020;17;;;
Normandia - Estacion Drenaje;409;15/12/2020;0;;;
1/2 Luna Caseta Caida ;411;15/12/2020;0;;;
Tequendama;412;15/12/2020;0;;;
Ukrania Venecia;414;15/12/2020;0;;;
Riopaila Agricola;417;15/12/2020;0;;;
Ukrania Morillo;501;15/12/2020;0;;;
Gertrudis;503;15/12/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;15/12/2020;0;;;
San Nicolas;505;15/12/2020;0;;;
San Nicolas;506;15/12/2020;0;;;
San Carlos;700;15/12/2020;0;;;
Mangos;701;15/12/2020;0;;;
La Luisa 2;208;16/12/2020;0;;;
La Luisa 2;209;16/12/2020;0;;;
La Luisa 2;210;16/12/2020;0;;;
La Luisa 1;211;16/12/2020;0;;;
La Luisa 1;212;16/12/2020;0;;;
Zambrano;213;16/12/2020;0;;;
Lagunas;214;16/12/2020;0;;;
Lagunas;215;16/12/2020;0;;;
Paila Arriba;303;16/12/2020;0;;;
Riopaila La Ranchera;304;16/12/2020;0;;;
Riopaila La Pista;305;16/12/2020;0;;;
Valparaiso;307;16/12/2020;0;;;
